mjd,flux,flux err
54634.7605556,0.0844470,0.0162353
54762.4334722,0.0947503,0.0055013
54768.4170486,0.1065212,0.0100134
54774.4083333,0.1127827,0.0149057
54789.3645718,0.1742887,0.0313867
54791.3596181,0.1372851,0.0079989
54793.3537384,0.1426259,0.0196830
54805.3208681,0.1768951,0.0195636
54807.3157060,0.1752293,0.0447260
54811.3043981,0.1244150,0.0081837
54907.0884838,0.1714541,0.0124332
54910.0929977,0.1643541,0.0044159
54916.0765625,0.1515702,0.0067111
54925.9830903,0.1542094,0.0235644
54931.9326852,0.1374653,0.0152742
54940.8937384,0.2014730,0.0391399
54949.8884491,0.1588137,0.0089875
54952.8728588,0.1772362,0.0116690
54955.8625231,0.1785278,0.0093079
54962.8575463,0.1757367,0.0181528
54965.8367361,0.1399975,0.0209843
54968.8233796,0.1599151,0.0134512
54971.8216898,0.1631186,0.0167937
54974.8082292,0.1640285,0.0324293
54990.7622338,0.1437782,0.0100184
54996.7470023,0.1791164,0.0121508
55008.7159838,0.1451143,0.0116550
55018.6872222,0.1301686,0.0046984
55024.6735995,0.1373761,0.0280206
55027.6612616,0.1367150,0.0101986
55036.6494560,0.1132949,0.0038859
55039.6152662,0.1543854,0.0406570
55045.6605324,0.1191816,0.0232041
55054.6381481,0.1280031,0.0055002
55057.6199884,0.1186995,0.0049232
55060.6087153,0.1195458,0.0144261
55069.5780903,0.1142208,0.0088787
55072.5699884,0.1262885,0.0038683
55075.5615162,0.1159678,0.0483515
55081.5450463,0.1265328,0.0056738
55084.5374306,0.1212698,0.0105263
55087.5254398,0.0977528,0.0324151
55090.5201852,0.1066641,0.0051108
55093.5122338,0.1290160,0.0138739
55096.5058796,0.1269214,0.0092107
55099.4958565,0.1215595,0.0225232
55105.4760995,0.1041578,0.0069056
55112.4606250,0.1029132,0.0179508
55115.4597338,0.1050992,0.0085944
55137.4085532,0.1035607,0.0043933
55140.4000926,0.1019023,0.0079811
55147.3677662,0.1119972,0.0348420
55153.3799537,0.1024025,0.0060487
55166.3529977,0.1181387,0.0136649
55172.3335069,0.1248583,0.0188596
55175.3128009,0.1140480,0.0106694
55189.2899421,0.1093901,0.0095496
55192.2656597,0.1185339,0.0134023
55196.2551273,0.1327710,0.0173746
55199.2546875,0.1316884,0.0074211
55208.2144907,0.1664403,0.0095016
55211.2076273,0.1325495,0.0073653
55214.1996759,0.1509507,0.0055526
55221.1807292,0.1615967,0.0184378
55227.1584028,0.1481016,0.0121098
55230.1577894,0.1662557,0.0374434
55240.1282986,0.1528309,0.0058295
55243.1191898,0.1588595,0.0090530
55246.1121296,0.1698111,0.0324601
55256.0856597,0.1579437,0.0051567
55271.0461227,0.1705732,0.0094526
55334.8671991,0.1378241,0.0141581
55351.9129282,0.1701304,0.0236515
55354.9079282,0.1102948,0.0431395
55367.8686227,0.1596670,0.0083542
55374.8523380,0.1289958,0.0046920
55384.8253241,0.1668283,0.0425984
55390.8116204,0.1586784,0.0377650
55410.7498727,0.1382782,0.0048081
55425.7475810,0.1449861,0.0127679
55429.6827662,0.1223843,0.0213003
