mjd,flux,flux err
54473.5953819,0.6288624,0.0225229
54477.5840625,0.6327672,0.0136064
54479.5788773,0.6330073,0.0134686
54483.5683912,0.6166435,0.0155473
54485.5620718,0.6318993,0.0204612
54487.5564468,0.6331084,0.0141038
54495.5352083,0.6086340,0.0195931
54496.5330556,0.6316684,0.0143604
54497.5300000,0.6259026,0.0137413
54503.5135301,0.6229493,0.0307252
54505.5073264,0.6344007,0.0218608
54507.5018634,0.6463129,0.0197131
54547.3934259,0.6378866,0.0241223
54549.3882176,0.6104100,0.0153584
54551.3825347,0.6318627,0.0210139
54553.3768519,0.6237126,0.0161573
54555.3709375,0.6340709,0.0253820
54557.3660069,0.6257391,0.0158105
54559.3605556,0.6077010,0.0388104
54583.2956134,0.6161475,0.0141052
54585.2904167,0.6386928,0.0210536
54601.2469676,0.6133236,0.0509939
54603.2413310,0.6130131,0.0156436
54605.2354977,0.6383742,0.0138618
54609.2251389,0.6629129,0.0180731
54611.2190509,0.6138719,0.0400685
54615.2087847,0.6100604,0.0397606
54618.2000926,0.5906954,0.0417032
54620.1948380,0.5907746,0.0193473
54625.1807176,0.6176642,0.0130938
54627.1748958,0.6100989,0.0141594
54629.1695833,0.5868160,0.0460902
54631.1637384,0.6186187,0.0362927
54655.0985532,0.6195977,0.0536959
54664.0740625,0.6274667,0.0294505
54666.0681597,0.6110731,0.0536138
54673.0494792,0.6244631,0.0143822
54681.0271644,0.6118759,0.0324115
54685.0164699,0.6149734,0.0231031
54689.0053819,0.6221974,0.0200003
54691.0003009,0.6132652,0.0487241
54693.0022569,0.6235514,0.0637081
54696.9916435,0.6073062,0.0646101
54698.9854514,0.5619787,0.0632158
54702.9747106,0.5871256,0.0380082
54704.9693403,0.6033901,0.1210830
54706.9639352,0.6291252,0.0404393
54761.8174190,0.5961477,0.0138484
54763.8112616,0.5942260,0.0344418
54767.8010880,0.6048658,0.0273238
54769.7968287,0.6288740,0.0191619
54775.7824653,0.5819145,0.0124832
54780.7667245,0.6044886,0.0378984
54788.7447106,0.5874950,0.0164200
54790.7391667,0.5933712,0.0243146
54792.7339005,0.5977790,0.0222672
54794.7288657,0.5955630,0.0132474
54806.6958102,0.5937560,0.0149585
54808.6900000,0.6099100,0.0155745
54810.6851157,0.6074221,0.0288227
54814.6738889,0.6095737,0.0437142
54818.6628819,0.6087397,0.0128796
54824.6464468,0.6122551,0.0155084
54848.5810880,0.6234562,0.0159436
54856.5631829,0.6109246,0.0146576
54860.5520139,0.6058354,0.0128099
54862.5471065,0.6151947,0.0182904
54864.5408333,0.6126940,0.0126411
54866.5357523,0.6047401,0.0133841
54870.5251736,0.6159261,0.0127113
54874.5139468,0.6127443,0.0179464
54876.5082176,0.6166387,0.0163159
54880.4972222,0.6125390,0.0127063
54882.4912731,0.6198947,0.0132534
54884.4862269,0.6125112,0.0166244
54886.4813079,0.6067505,0.0149093
54888.4755093,0.6079315,0.0147971
54890.4701852,0.6213578,0.0141146
54896.4530903,0.6161520,0.0222002
54898.4481829,0.6216376,0.0128619
54900.4428704,0.6225018,0.0179233
54902.4383681,0.6247676,0.0212570
54904.4332870,0.6177134,0.0172910
54906.4280208,0.6155676,0.0228416
54920.5453472,0.6195847,0.0088545
54923.5025694,0.6090701,0.0140374
54926.4903935,0.6190447,0.0113517
54932.4244676,0.6234797,0.0092214
54935.4069560,0.6210913,0.0364529
54941.3891319,0.6113355,0.0087224
54947.3769560,0.6179262,0.0114386
54950.3666551,0.6218051,0.0102390
54953.3675347,0.6174615,0.0157369
54956.4470486,0.5777245,0.0112128
54966.2783796,0.6279248,0.0150421
54969.2641088,0.6172042,0.0105384
54972.2632060,0.6200404,0.0156095
54975.2518287,0.6309100,0.0098120
54984.2268750,0.6316824,0.0107951
54988.2195023,0.6158076,0.0103181
54994.2056250,0.5772187,0.0300839
55009.1663657,0.6266890,0.0120937
55016.1509144,0.6144668,0.0316114
55019.1300926,0.5994792,0.0118384
55022.1260880,0.5992334,0.0134792
55028.1168056,0.6192123,0.0097926
55037.0908565,0.6311205,0.0180731
55040.0684259,0.6115850,0.0377122
55052.9491667,0.6284118,0.0101856
55055.9410648,0.6440172,0.0180119
55058.9462500,0.6459411,0.0119419
55061.9336343,0.6434009,0.0131023
55067.9262847,0.6090168,0.0366076
55070.9243056,0.6402908,0.0575867
55073.9092245,0.6350040,0.0107244
55076.8941782,0.6174783,0.0324474
55079.8838310,0.6321525,0.0103844
55088.8600000,0.6266803,0.0139517
55091.8520718,0.6267982,0.0176919
55094.8446181,0.6130545,0.0138579
55100.8268750,0.6222910,0.0116445
55106.8100926,0.6297165,0.0131331
55110.7994444,0.6146952,0.0151181
55113.7939005,0.6108626,0.0096854
55135.7378819,0.6132965,0.0222779
55138.7216319,0.5731575,0.0751990
55141.7183449,0.6094213,0.0097248
55144.7110185,0.6072307,0.0100327
55150.9249769,0.5956292,0.0378601
55166.8954745,0.6226933,0.0245412
55175.8547222,0.6071409,0.0451846
