"Jul.Day","YYYY/MM/DD","Wdy","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2457757,"2017/01/03","Tue",1.3438,0.96013,117.67,0.81596,1.02659,1.3831,7.7563,1.4436,1208.5,20.909
2457758,"2017/01/04","Wed",1.3293,0.95461,117.43,0.81328,1.02277,1.3755,7.7553,1.4394,1198.6,21.385
2457759,"2017/01/05","Thu",1.3216,0.94353,115.42,0.80566,1.01078,1.3637,7.7545,1.4244,1183.2,21.399
2457760,"2017/01/06","Fri",1.3216,0.94704,116.85,0.81214,1.01513,1.3692,7.7552,1.4343,1200.4,21.302
2457763,"2017/01/09","Mon",1.3222,0.94558,116.08,0.82201,1.01489,1.3582,7.7559,1.4233,1202.0,21.336
2457764,"2017/01/10","Tue",1.3208,0.94593,115.76,0.82211,1.01584,1.3569,7.7544,1.4294,1197.5,21.628
2457765,"2017/01/11","Wed",1.3232,0.95242,116.27,0.82540,1.02044,1.3517,7.7557,1.4274,1196.4,21.882
2457766,"2017/01/12","Thu",1.3130,0.93766,113.88,0.81894,1.00667,1.3321,7.7545,1.4010,1172.3,21.699
2457767,"2017/01/13","Fri",1.3135,0.94124,115.02,0.81976,1.00984,1.3369,7.7553,1.4075,1179.1,21.547
2457770,"2017/01/16","Mon",1.3163,0.94338,114.06,0.83037,1.01168,1.3381,7.7553,1.4087,1184.8,21.650
2457771,"2017/01/17","Tue",1.3060,0.93499,112.98,0.80747,1.00276,1.3267,7.7561,1.3923,1163.0,21.580
2457772,"2017/01/18","Wed",1.3177,0.93613,113.40,0.81244,1.00282,1.3241,7.7565,1.3932,1172.3,21.856
2457773,"2017/01/19","Thu",1.3329,0.94072,115.30,0.81180,1.00947,1.3256,7.7569,1.3947,1178.5,21.898
2457774,"2017/01/20","Fri",1.3339,0.93640,115.09,0.81118,1.00505,1.3258,7.7587,1.3990,1176.3,21.686
2457777,"2017/01/23","Mon",1.3289,0.93112,112.91,0.80093,0.99902,1.3220,7.7563,1.3861,1165.7,21.434
2457778,"2017/01/24","Tue",1.3152,0.93039,113.67,0.79801,1.00000,1.3186,7.7570,1.3772,1167.0,21.385
2457779,"2017/01/25","Wed",1.3075,0.93087,113.60,0.79247,0.99962,1.3220,7.7574,1.3760,1165.3,21.312
2457780,"2017/01/26","Thu",1.3104,0.93727,114.75,0.79505,1.00115,1.3281,7.7580,1.3829,1171.0,21.304
2457781,"2017/01/27","Fri",1.3108,0.93548,115.18,0.79810,0.99916,1.3250,7.7582,1.3780,1176.7,21.027
2457784,"2017/01/30","Mon",1.3093,0.93635,113.85,0.80168,0.99764,1.3237,7.7583,1.3739,1172.2,20.756
2457785,"2017/01/31","Tue",1.3030,0.92654,112.72,0.79471,0.98907,1.3190,7.7584,1.3645,1152.1,20.838
2457786,"2017/02/01","Wed",1.3089,0.92968,113.32,0.79097,0.99310,1.3221,7.7594,1.3792,1155.3,20.819
2457787,"2017/02/02","Thu",1.3019,0.92570,112.43,0.79739,0.98944,1.3035,7.7596,1.3690,1141.0,20.629
2457788,"2017/02/03","Fri",1.3004,0.92667,112.39,0.79936,0.99108,1.3012,7.7583,1.3647,1135.7,20.360
2457791,"2017/02/06","Mon",1.3117,0.93194,112.30,0.80329,0.99341,1.3090,7.7584,1.3694,1135.7,20.521
2457792,"2017/02/07","Tue",1.3167,0.93542,112.16,0.80096,0.99712,1.3098,7.7586,1.3670,1144.0,20.644
2457793,"2017/02/08","Wed",1.3157,0.93398,111.78,0.79739,0.99358,1.3077,7.7588,1.3660,1144.1,20.510
2457794,"2017/02/09","Thu",1.3141,0.93831,113.28,0.79909,1.00137,1.3119,7.7577,1.3925,1149.7,20.421
2457795,"2017/02/10","Fri",1.3074,0.93909,113.19,0.79993,1.00268,1.3013,7.7595,1.3879,1146.8,20.311
2457798,"2017/02/13","Mon",1.3071,0.94321,113.76,0.79940,1.00546,1.3084,7.7596,1.3935,1151.6,20.328
2457799,"2017/02/14","Tue",1.3093,0.94548,114.35,0.80227,1.00723,1.3090,7.7596,1.3979,1140.5,20.347
2457800,"2017/02/15","Wed",1.3084,0.94374,114.17,0.80231,1.00623,1.2993,7.7608,1.3887,1136.8,20.292
2457801,"2017/02/16","Thu",1.3058,0.93808,113.35,0.80155,0.99923,1.2998,7.7600,1.3838,1141.4,20.340
2457802,"2017/02/17","Fri",1.3116,0.94211,112.87,0.80471,1.00214,1.3061,7.7615,1.3925,1152.5,20.462
2457806,"2017/02/21","Tue",1.3149,0.94781,113.45,0.80226,1.00836,1.3036,7.7610,1.3957,1144.4,20.427
2457807,"2017/02/22","Wed",1.3187,0.94741,113.49,0.80286,1.01096,1.3016,7.7604,1.3965,1143.7,19.920
2457808,"2017/02/23","Thu",1.3109,0.94472,112.72,0.79700,1.00614,1.2963,7.7596,1.3821,1131.1,19.737
