,Day,CPI USA,CAD/USD,EUR/USD,JPY/USD,GBP/USD,CHF/USD,AUD/USD,HKD/USD,NZD/USD,KRW/USD,MXN/USD
2017-01-03,2,2.5000419999999997,1.3438,0.9601299999999999,117.67,0.81596,1.02659,1.3831,7.7563,1.4436,1208.5,20.909000000000002
2017-01-04,3,2.5000419999999997,1.3293,0.9546100000000001,117.43,0.81328,1.0227700000000002,1.3755,7.7553,1.4394,1198.6,21.385
2017-01-05,4,2.5000419999999997,1.3216,0.94353,115.42,0.80566,1.01078,1.3637,7.7545,1.4244,1183.2,21.399
2017-01-06,5,2.5000419999999997,1.3216,0.94704,116.85,0.81214,1.0151299999999999,1.3692,7.7552,1.4343,1200.4,21.302
2017-01-09,8,2.5000419999999997,1.3222,0.94558,116.08,0.82201,1.01489,1.3582,7.7559,1.4233,1202.0,21.336
2017-01-10,9,2.5000419999999997,1.3208,0.9459299999999999,115.76,0.82211,1.0158399999999999,1.3569,7.7544,1.4294,1197.5,21.628
2017-01-11,10,2.5000419999999997,1.3232,0.95242,116.27,0.8254,1.02044,1.3517,7.7557,1.4274,1196.4,21.881999999999998
2017-01-12,11,2.5000419999999997,1.313,0.93766,113.88,0.81894,1.0066700000000002,1.3321,7.7545,1.401,1172.3,21.699
2017-01-13,12,2.5000419999999997,1.3135,0.94124,115.02,0.81976,1.00984,1.3369,7.7553,1.4075,1179.1,21.546999999999997
2017-01-16,15,2.5000419999999997,1.3163,0.9433799999999999,114.06,0.83037,1.01168,1.3381,7.7553,1.4087,1184.8,21.65
2017-01-17,16,2.5000419999999997,1.306,0.93499,112.98,0.80747,1.00276,1.3267,7.7561,1.3923,1163.0,21.58
2017-01-18,17,2.5000419999999997,1.3177,0.9361299999999999,113.4,0.8124399999999999,1.00282,1.3241,7.7565,1.3932,1172.3,21.855999999999998
2017-01-19,18,2.5000419999999997,1.3329,0.9407200000000001,115.3,0.8118,1.00947,1.3256,7.7569,1.3947,1178.5,21.898000000000003
2017-01-20,19,2.5000419999999997,1.3339,0.9364,115.09,0.81118,1.00505,1.3258,7.7587,1.399,1176.3,21.686
2017-01-23,22,2.5000419999999997,1.3289,0.9311200000000001,112.91,0.80093,0.99902,1.322,7.7563,1.3861,1165.7,21.434
2017-01-24,23,2.5000419999999997,1.3152,0.9303899999999999,113.67,0.79801,1.0,1.3186,7.757,1.3772,1167.0,21.385
2017-01-25,24,2.5000419999999997,1.3075,0.9308700000000001,113.6,0.79247,0.9996200000000001,1.322,7.7574,1.376,1165.3,21.311999999999998
2017-01-26,25,2.5000419999999997,1.3104,0.93727,114.75,0.79505,1.00115,1.3281,7.758,1.3829,1171.0,21.304000000000002
2017-01-27,26,2.5000419999999997,1.3108,0.93548,115.18,0.7981,0.99916,1.325,7.7582,1.378,1176.7,21.026999999999997
2017-01-30,29,2.5000419999999997,1.3093,0.93635,113.85,0.8016800000000001,0.99764,1.3237,7.7583,1.3739,1172.2,20.756
2017-01-31,30,2.5000419999999997,1.303,0.9265399999999999,112.72,0.79471,0.9890700000000001,1.319,7.7584,1.3645,1152.1,20.838
2017-02-01,31,2.7379580000000003,1.3089,0.92968,113.32,0.79097,0.9931,1.3221,7.7594,1.3792,1155.3,20.819000000000003
2017-02-02,32,2.7379580000000003,1.3019,0.9257,112.43,0.7973899999999999,0.98944,1.3035,7.7596,1.369,1141.0,20.629
2017-02-03,33,2.7379580000000003,1.3004,0.9266700000000001,112.39,0.7993600000000001,0.99108,1.3012,7.7583,1.3647,1135.7,20.36
2017-02-06,36,2.7379580000000003,1.3117,0.93194,112.3,0.80329,0.99341,1.309,7.7584,1.3694,1135.7,20.521
2017-02-07,37,2.7379580000000003,1.3167,0.93542,112.16,0.80096,0.9971200000000001,1.3098,7.7586,1.367,1144.0,20.644000000000002
