Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,4.781250,4.851563,4.781250,4.851563,0.252573,198400
1977-01-04,4.851563,4.875000,4.796875,4.812500,0.250539,308800
1977-01-05,4.812500,4.812500,4.656250,4.656250,0.242405,286400
1977-01-06,4.656250,4.718750,4.656250,4.695313,0.244439,382400
1977-01-07,4.695313,4.710938,4.664063,4.695313,0.244439,667200
1977-01-10,4.695313,4.734375,4.656250,4.726563,0.246066,208000
1977-01-11,4.726563,4.773438,4.671875,4.687500,0.244032,212800
1977-01-12,4.671875,4.671875,4.593750,4.640625,0.241591,336000
1977-01-13,4.640625,4.750000,4.632813,4.750000,0.247286,436800
1977-01-14,4.750000,4.750000,4.687500,4.687500,0.244032,166400
1977-01-17,4.687500,4.703125,4.656250,4.703125,0.244845,80000
1977-01-18,4.687500,4.687500,4.671875,4.679688,0.243625,118400
1977-01-19,4.687500,4.828125,4.687500,4.828125,0.251353,540800
1977-01-20,4.828125,4.843750,4.750000,4.750000,0.247286,222400
1977-01-21,4.750000,4.765625,4.726563,4.726563,0.246066,100800
1977-01-24,4.734375,4.789063,4.734375,4.781250,0.248912,299200
1977-01-25,4.781250,4.804688,4.750000,4.789063,0.249319,182400
1977-01-26,4.796875,4.835938,4.796875,4.812500,0.250539,124800
1977-01-27,4.812500,4.812500,4.796875,4.804688,0.250133,124800
1977-01-28,4.804688,4.851563,4.796875,4.812500,0.250539,368000
1977-01-31,4.812500,4.851563,4.781250,4.781250,0.248912,633600
1977-02-01,4.781250,4.828125,4.781250,4.796875,0.249726,208000
1977-02-02,4.796875,4.835938,4.781250,4.796875,0.249726,745600
1977-02-03,4.796875,4.820313,4.781250,4.789063,0.249319,188800
1977-02-04,4.804688,4.843750,4.804688,4.820313,0.250946,166400
1977-02-07,4.820313,4.890625,4.820313,4.890625,0.254606,164800
1977-02-08,4.945313,5.078125,4.945313,5.046875,0.262741,628800
1977-02-09,5.187500,5.312500,5.187500,5.218750,0.271689,1396800
1977-02-10,5.234375,5.273438,5.234375,5.265625,0.274129,851200
1977-02-11,5.265625,5.289063,5.218750,5.265625,0.274129,622400
1977-02-14,5.234375,5.234375,5.187500,5.234375,0.272502,491200
1977-02-15,5.234375,5.265625,5.218750,5.250000,0.273316,342400
1977-02-16,5.226563,5.226563,5.187500,5.203125,0.270875,326400
1977-02-17,5.203125,5.203125,5.109375,5.109375,0.265995,281600
1977-02-18,5.109375,5.109375,5.046875,5.109375,0.265995,564800
1977-02-22,5.101563,5.101563,5.062500,5.078125,0.264368,307200
1977-02-23,5.078125,5.117188,5.078125,5.078125,0.264368,129600
1977-02-24,5.078125,5.093750,5.015625,5.015625,0.261114,587200
1977-02-25,5.015625,5.070313,5.007813,5.023438,0.261521,200000
1977-02-28,5.023438,5.062500,5.023438,5.031250,0.261927,275200
1977-03-01,5.031250,5.093750,5.023438,5.093750,0.265181,198400
1977-03-02,5.093750,5.156250,5.085938,5.148438,0.268028,174400
1977-03-03,5.156250,5.250000,5.156250,5.195313,0.270469,188800
1977-03-04,5.210938,5.335938,5.210938,5.312500,0.276569,635200
1977-03-07,5.312500,5.328125,5.281250,5.281250,0.274942,289600
1977-03-08,5.281250,5.351563,5.265625,5.296875,0.275756,401600
1977-03-09,5.296875,5.296875,5.218750,5.296875,0.275756,233600
1977-03-10,5.203125,5.203125,5.171875,5.187500,0.270062,561600
1977-03-11,5.187500,5.218750,5.179688,5.187500,0.270062,480000
1977-03-14,5.187500,5.203125,5.164063,5.164063,0.268842,204800
1977-03-15,5.164063,5.195313,5.156250,5.164063,0.268842,390400
1977-03-16,5.164063,5.179688,5.164063,5.164063,0.268842,632000
1977-03-17,5.164063,5.203125,5.125000,5.203125,0.270875,361600
1977-03-18,5.218750,5.257813,5.218750,5.234375,0.272502,528000
1977-03-21,5.218750,5.218750,5.125000,5.125000,0.266808,355200
1977-03-22,5.125000,5.140625,5.101563,5.117188,0.266401,172800
1977-03-23,5.117188,5.132813,5.039063,5.054688,0.263148,449600
1977-03-24,5.015625,5.015625,4.968750,4.984375,0.259487,680000
1977-03-25,4.984375,5.000000,4.960938,4.960938,0.258267,270400
1977-03-28,4.960938,4.984375,4.960938,4.976563,0.259080,164800
1977-03-29,4.984375,5.031250,4.984375,5.023438,0.261521,270400
1977-03-30,5.023438,5.062500,5.015625,5.023438,0.261521,244800
1977-03-31,5.023438,5.046875,5.015625,5.031250,0.261927,193600
1977-04-01,5.031250,5.054688,5.031250,5.031250,0.261927,142400
1977-04-04,5.031250,5.031250,5.000000,5.000000,0.260301,217600
1977-04-05,5.000000,5.070313,5.000000,5.031250,0.261927,377600
1977-04-06,5.031250,5.195313,5.031250,5.187500,0.270062,329600
1977-04-07,5.187500,5.210938,5.171875,5.187500,0.270062,155200
1977-04-11,5.187500,5.210938,5.140625,5.187500,0.270062,142400
1977-04-12,5.195313,5.257813,5.195313,5.250000,0.273316,284800
1977-04-13,5.250000,5.500000,5.234375,5.468750,0.284704,673600
1977-04-14,5.468750,5.507813,5.406250,5.437500,0.283077,1228800
1977-04-15,5.406250,5.406250,5.328125,5.359375,0.279010,420800
1977-04-18,5.359375,5.406250,5.343750,5.343750,0.278196,497600
1977-04-19,5.343750,5.343750,5.304688,5.304688,0.276163,508800
1977-04-20,5.304688,5.343750,5.296875,5.312500,0.276569,819200
1977-04-21,5.437500,5.562500,5.437500,5.453125,0.283890,1932800
1977-04-22,5.453125,5.476563,5.375000,5.437500,0.283077,848000
1977-04-25,5.437500,5.453125,5.406250,5.437500,0.283077,384000
1977-04-26,5.437500,5.484375,5.437500,5.437500,0.283077,827200
1977-04-27,5.437500,5.531250,5.437500,5.515625,0.287144,411200
1977-04-28,5.515625,5.523438,5.468750,5.468750,0.284704,961600
1977-04-29,5.468750,5.500000,5.453125,5.460938,0.284297,571200
1977-05-02,5.460938,5.468750,5.445313,5.460938,0.284297,163200
1977-05-03,5.460938,5.484375,5.453125,5.453125,0.283890,348800
1977-05-04,5.453125,5.515625,5.453125,5.492188,0.285924,488000
1977-05-05,5.492188,5.546875,5.484375,5.515625,0.287144,400000
1977-05-06,5.515625,5.515625,5.484375,5.500000,0.286331,272000
1977-05-09,5.492188,5.492188,5.468750,5.468750,0.284704,152000
1977-05-10,5.468750,5.609375,5.468750,5.593750,0.291211,1332800
1977-05-11,5.593750,5.601563,5.578125,5.578125,0.290398,360000
1977-05-12,5.578125,5.593750,5.531250,5.562500,0.289584,232000
