Date,Price
1995-01-04,94.3497
1995-01-11,94.3227
1995-01-18,93.7968
1995-01-25,94.0486
1995-02-01,94.0643
1995-02-08,93.6897
1995-02-15,93.9221
1995-02-22,93.4929
1995-03-01,93.2955
1995-03-08,92.8558
1995-03-15,92.7586
1995-03-22,92.9812
1995-03-29,92.4767
1995-04-05,91.6676
1995-04-12,90.7027
1995-04-19,89.7401
1995-04-26,89.6137
1995-05-03,89.579
1995-05-10,89.2847
1995-05-17,90.6186
1995-05-24,90.9926
1995-05-31,89.9972
1995-06-07,90.4096
1995-06-14,90.3436
1995-06-21,90.3029
1995-06-28,90.2402
1995-07-05,90.1247
1995-07-12,90.3588
1995-07-19,90.3746
1995-07-26,90.3945
1995-08-02,90.4966
1995-08-09,91.0734
1995-08-16,92.4882
1995-08-23,93.4970
1995-08-30,93.4119
1995-09-06,93.381
1995-09-13,93.91
1995-09-20,94.7413
1995-09-27,93.4106
1995-10-04,93.3645
1995-10-11,93.5366
1995-10-18,93.621
1995-10-25,93.5543
1995-11-01,94.2089
1995-11-08,94.8319
1995-11-15,94.972
1995-11-22,94.8056
1995-11-29,94.9469
1995-12-06,95.2565
1995-12-13,95.6957
1995-12-20,95.785
1995-12-27,95.4982
1996-01-03,95.6912
1996-01-10,96.0655
1996-01-17,96.2134
1996-01-24,96.653
1996-01-31,97.1248
1996-02-07,96.7502
1996-02-14,96.8453
1996-02-21,96.5935
1996-02-28,96.2483
1996-03-06,96.6128
1996-03-13,96.6377
1996-03-20,96.512
1996-03-27,96.6372
1996-04-03,96.5931
1996-04-10,96.7427
1996-04-17,97.0271
1996-04-24,96.9788
1996-05-01,97.0422
1996-05-08,97.0366
1996-05-15,97.1374
1996-05-22,97.4652
1996-05-29,97.8492
1996-06-05,97.6096
1996-06-12,97.9289
1996-06-19,97.7436
1996-06-26,97.8561
1996-07-03,97.8551
1996-07-10,98.1710
1996-07-17,97.8873
1996-07-24,97.3463
1996-07-31,97.3048
1996-08-07,97.1895
1996-08-14,97.2797
1996-08-21,97.3569
1996-08-28,97.2036
1996-09-04,97.3493
1996-09-11,97.6837
1996-09-18,97.9001
1996-09-25,97.8066
1996-10-02,98.0331
1996-10-09,98.0245
1996-10-16,98.2701
1996-10-23,98.3773
1996-10-30,98.3628
1996-11-06,98.2031
1996-11-13,97.7095
1996-11-20,97.6371
1996-11-27,97.8513
1996-12-04,98.6403
1996-12-11,98.7729
1996-12-18,98.9151
1996-12-25,99.0549
1997-01-01,99.1754
1997-01-08,99.3082
1997-01-15,99.471
1997-01-22,99.9005
1997-01-29,100.8457
1997-02-05,101.2309
1997-02-12,101.7466
1997-02-19,102.2268
1997-02-26,101.9158
1997-03-05,102.3327
1997-03-12,102.6174
1997-03-19,102.686
1997-03-26,102.774
1997-04-02,102.5496
1997-04-09,103.1524
1997-04-16,103.6859
1997-04-23,103.5298
1997-04-30,103.8265
1997-05-07,103.6256
1997-05-14,102.6314
1997-05-21,101.6365
1997-05-28,101.9114
1997-06-04,102.2173
1997-06-11,101.9634
1997-06-18,101.9985
1997-06-25,102.1667
1997-07-02,102.2505
1997-07-09,102.2096
1997-07-16,102.8577
1997-07-23,103.5776
1997-07-30,104.3942
1997-08-06,105.0858
1997-08-13,105.0288
1997-08-20,105.3107
1997-08-27,105.1228
1997-09-03,105.7041
1997-09-10,105.6395
1997-09-17,105.4286
1997-09-24,105.8006
1997-10-01,105.6838
1997-10-08,105.8445
1997-10-15,105.5036
1997-10-22,106.3421
1997-10-29,106.973
1997-11-05,106.9168
1997-11-12,107.2132
1997-11-19,108.0471
1997-11-26,108.9989
1997-12-03,110.1469
1997-12-10,111.3002
1997-12-17,112.7582
1997-12-24,113.111
1997-12-31,113.2726
1998-01-07,115.5170
1998-01-14,116.4689
1998-01-21,115.8652
1998-01-28,115.9597
1998-02-04,115.3846
1998-02-11,113.907
1998-02-18,114.6928
1998-02-25,114.6135
1998-03-04,114.078
1998-03-11,114.9817
1998-03-18,114.1911
1998-03-25,113.7959
1998-04-01,113.9207
1998-04-08,114.7238
1998-04-15,113.568
1998-04-22,113.6885
1998-04-29,113.6765
1998-05-06,113.5728
1998-05-13,114.3406
1998-05-20,115.3328
1998-05-27,115.3287
1998-06-03,116.3452
1998-06-10,116.8868
1998-06-17,118.3617
1998-06-24,116.9879
1998-07-01,117.8583
1998-07-08,117.9295
1998-07-15,117.9554
1998-07-22,117.2925
1998-07-29,117.5409
1998-08-05,118.0892
1998-08-12,119.1539
1998-08-19,119.5316
1998-08-26,120.2042
1998-09-02,120.1102
1998-09-09,118.9713
1998-09-16,117.7525
1998-09-23,118.2142
1998-09-30,117.6627
1998-10-07,117.0846
1998-10-14,114.7468
1998-10-21,114.141
1998-10-28,114.4952
1998-11-04,114.1829
1998-11-11,114.9899
1998-11-18,115.3947
1998-11-25,115.203
1998-12-02,115.2262
1998-12-09,114.6735
1998-12-16,113.9108
1998-12-23,114.1194
1998-12-30,114.3757
1999-01-06,113.3018
1999-01-13,113.6638
1999-01-20,114.831
1999-01-27,115.2165
1999-02-03,115.6511
1999-02-10,115.26
1999-02-17,115.617
1999-02-24,117.0531
1999-03-03,117.8434
1999-03-10,118.0616
1999-03-17,117.2202
1999-03-24,116.8309
1999-03-31,117.3074
1999-04-07,117.3206
1999-04-14,117.0357
1999-04-21,116.7675
1999-04-28,116.5664
1999-05-05,116.1856
1999-05-12,115.9194
1999-05-19,116.6282
1999-05-26,117.1821
1999-06-02,117.8349
1999-06-09,117.4843
1999-06-16,116.9166
1999-06-23,117.1828
1999-06-30,117.2244
1999-07-07,117.4362
1999-07-14,118.0343
1999-07-21,117.5105
1999-07-28,116.8635
1999-08-04,116.1045
1999-08-11,116.2328
1999-08-18,116.4306
1999-08-25,116.2304
1999-09-01,116.3074
1999-09-08,115.9989
1999-09-15,115.577
1999-09-22,115.5179
1999-09-29,115.47
1999-10-06,115.0435
1999-10-13,115.2324
1999-10-20,115.1152
1999-10-27,115.0344
1999-11-03,115.165
1999-11-10,115.3075
1999-11-17,115.3475
1999-11-24,115.4324
1999-12-01,115.7254
1999-12-08,115.6201
1999-12-15,115.6064
1999-12-22,115.3748
1999-12-29,115.1581
2000-01-05,114.7351
2000-01-12,115.0578
2000-01-19,115.1948
2000-01-26,115.1132
2000-02-02,116.5456
2000-02-09,116.4348
2000-02-16,116.5283
2000-02-23,116.697
2000-03-01,117.0093
2000-03-08,116.9267
2000-03-15,116.5849
2000-03-22,116.7839
2000-03-29,116.5425
2000-04-05,116.4459
2000-04-12,116.7801
2000-04-19,117.2825
2000-04-26,117.8097
2000-05-03,119.0867
2000-05-10,119.8731
2000-05-17,120.1286
2000-05-24,120.3504
2000-05-31,119.702
2000-06-07,118.6863
2000-06-14,118.5774
2000-06-21,118.4713
2000-06-28,119.0841
2000-07-05,118.5214
2000-07-12,118.7911
2000-07-19,119.2546
2000-07-26,118.9883
2000-08-02,119.5993
2000-08-09,119.9898
2000-08-16,119.7023
2000-08-23,119.7285
2000-08-30,119.8287
2000-09-06,119.9827
2000-09-13,121.0897
2000-09-20,122.0269
2000-09-27,121.4353
2000-10-04,121.5799
2000-10-11,122.019
2000-10-18,123.0307
2000-10-25,123.6867
2000-11-01,123.962
2000-11-08,123.4236
2000-11-15,123.6446
2000-11-22,124.4139
2000-11-29,124.5119
2000-12-06,123.5941
2000-12-13,123.2755
2000-12-20,122.9147
2000-12-27,122.4598
2001-01-03,122.2763
2001-01-10,122.3341
2001-01-17,123.0319
2001-01-24,123.1192
2001-01-31,123.1303
2001-02-07,122.6438
2001-02-14,123.5174
2001-02-21,123.8732
2001-02-28,124.1138
2001-03-07,124.025
2001-03-14,124.6161
2001-03-21,126.1923
2001-03-28,126.6436
2001-04-04,127.2715
2001-04-11,126.6194
2001-04-18,126.596
2001-04-25,126.0738
2001-05-02,126.1006
2001-05-09,125.906
2001-05-16,126.5895
2001-05-23,126.2758
2001-05-30,126.8885
2001-06-06,127.2045
2001-06-13,127.1766
2001-06-20,127.2245
2001-06-27,127.1342
2001-07-04,127.5373
2001-07-11,128.0083
2001-07-18,128.2757
2001-07-25,127.269
2001-08-01,127.0007
2001-08-08,126.5876
2001-08-15,125.6321
2001-08-22,124.8952
2001-08-29,125.027
2001-09-05,125.4822
2001-09-12,126.1722
2001-09-19,125.545
2001-09-26,125.8286
2001-10-03,126.4305
2001-10-10,126.4555
2001-10-17,126.4931
2001-10-24,127.1058
2001-10-31,127.0621
2001-11-07,126.9156
2001-11-14,127.0603
2001-11-21,127.5151
2001-11-28,127.6563
2001-12-05,127.1438
2001-12-12,127.0549
2001-12-19,126.688
2001-12-26,128.0218
2002-01-02,128.1549
2002-01-09,128.1324
2002-01-16,128.594
2002-01-23,129.2089
2002-01-30,129.831
2002-02-06,129.8475
2002-02-13,129.5431
2002-02-20,129.3204
2002-02-27,129.8401
2002-03-06,129.425
2002-03-13,128.5774
2002-03-20,128.685
2002-03-27,129.0255
2002-04-03,129.1926
2002-04-10,128.8786
2002-04-17,128.7561
2002-04-24,128.2969
2002-05-01,127.6807
2002-05-08,127.5004
2002-05-15,127.6761
2002-05-22,126.6582
2002-05-29,126.3225
2002-06-05,125.9083
2002-06-12,126.1168
2002-06-19,125.9732
2002-06-26,124.8555
2002-07-03,124.2725
2002-07-10,124.0111
2002-07-17,122.9577
2002-07-24,123.1242
2002-07-31,124.7945
2002-08-07,125.4473
2002-08-14,125.3159
2002-08-21,124.9057
2002-08-28,125.2036
2002-09-04,124.8541
2002-09-11,125.3464
2002-09-18,126.2606
2002-09-25,126.8154
2002-10-02,126.9091
2002-10-09,127.2175
2002-10-16,127.3647
2002-10-23,127.1632
2002-10-30,126.6673
2002-11-06,125.9567
2002-11-13,125.2618
2002-11-20,125.6534
2002-11-27,126.0104
2002-12-04,126.1236
2002-12-11,125.8746
2002-12-18,124.8269
2002-12-25,124.4308
2003-01-01,124.309
2003-01-08,124.1683
2003-01-15,123.5632
2003-01-22,123.2875
2003-01-29,123.1346
2003-02-05,123.3318
2003-02-12,123.7336
2003-02-19,123.5386
2003-02-26,123.1358
2003-03-05,122.8611
2003-03-12,122.1862
2003-03-19,123.2894
2003-03-26,123.5135
2003-04-02,122.6553
2003-04-09,122.9986
2003-04-16,122.1923
2003-04-23,121.4913
2003-04-30,120.8654
2003-05-07,119.2228
2003-05-14,117.9553
2003-05-21,117.4133
2003-05-28,117.3658
2003-06-04,117.4886
2003-06-11,117.3467
2003-06-18,116.8077
2003-06-25,117.428
2003-07-02,117.7303
2003-07-09,117.8516
2003-07-16,118.5555
2003-07-23,119.0806
2003-07-30,118.6585
2003-08-06,119.6717
2003-08-13,119.2185
2003-08-20,119.7974
2003-08-27,120.5154
2003-09-03,120.2987
2003-09-10,119.4178
2003-09-17,118.9977
2003-09-24,117.1159
2003-10-01,116.9435
2003-10-08,116.4789
2003-10-15,116.0908
2003-10-22,116.2143
2003-10-29,115.8266
2003-11-05,116.5026
2003-11-12,116.3178
2003-11-19,115.6503
2003-11-26,115.8332
2003-12-03,115.3725
2003-12-10,114.657
2003-12-17,114.5622
2003-12-24,114.3971
2003-12-31,113.7088
2004-01-07,112.7124
2004-01-14,111.837
2004-01-21,112.8453
2004-01-28,112.7326
2004-02-04,113.5219
2004-02-11,112.9026
2004-02-18,112.2741
2004-02-25,113.4172
2004-03-03,114.3933
2004-03-10,114.2678
2004-03-17,114.6134
2004-03-24,113.8693
2004-03-31,113.9316
2004-04-07,113.7136
2004-04-14,114.5339
2004-04-21,115.4128
2004-04-28,115.9624
2004-05-05,116.1057
2004-05-12,117.2937
2004-05-19,117.5491
2004-05-26,116.8712
2004-06-02,115.7895
2004-06-09,115.5574
2004-06-16,116.1638
2004-06-23,115.9267
2004-06-30,115.4598
2004-07-07,114.88
2004-07-14,114.548
2004-07-21,114.495
2004-07-28,115.5958
2004-08-04,115.8124
2004-08-11,115.2076
2004-08-18,114.9249
2004-08-25,114.8188
2004-09-01,115.2509
2004-09-08,115.1605
2004-09-15,114.8191
2004-09-22,114.6623
2004-09-29,114.3201
2004-10-06,113.9421
2004-10-13,113.6054
2004-10-20,113.2312
2004-10-27,112.18
2004-11-03,111.7583
2004-11-10,110.7584
2004-11-17,110.379
2004-11-24,109.5797
2004-12-01,108.7099
2004-12-08,108.6961
2004-12-15,109.6548
2004-12-22,109.3134
2004-12-29,108.6489
2005-01-05,108.7514
2005-01-12,109.6061
2005-01-19,109.3716
2005-01-26,109.7594
2005-02-02,109.7877
2005-02-09,110.3564
2005-02-16,109.9593
2005-02-23,109.2724
2005-03-02,109.1512
2005-03-09,108.8648
2005-03-16,108.422
2005-03-23,109.0125
2005-03-30,110.1811
2005-04-06,110.2267
2005-04-13,110.1806
2005-04-20,110.1491
2005-04-27,109.7445
2005-05-04,109.9586
2005-05-11,109.7988
2005-05-18,110.8485
2005-05-25,111.031
2005-06-01,111.2233
2005-06-08,111.3026
2005-06-15,111.9977
2005-06-22,111.4971
2005-06-29,111.7033
2005-07-06,112.5734
2005-07-13,112.1651
2005-07-20,112.092
2005-07-27,111.7399
2005-08-03,111.1662
2005-08-10,110.5629
2005-08-17,110.09
2005-08-24,110.974
2005-08-31,110.8127
2005-09-07,109.8912
2005-09-14,110.1699
2005-09-21,110.5918
2005-09-28,111.1732
2005-10-05,111.2725
2005-10-12,111.2468
2005-10-19,111.8264
2005-10-26,111.7554
2005-11-02,111.5923
2005-11-09,112.3219
2005-11-16,112.7057
2005-11-23,112.54
2005-11-30,112.1512
2005-12-07,111.9901
2005-12-14,111.459
2005-12-21,111.4305
2005-12-28,111.6984
2006-01-04,111.3297
2006-01-11,110.295
2006-01-18,110.3168
2006-01-25,109.8163
2006-02-01,109.7644
2006-02-08,110.3355
2006-02-15,110.5132
2006-02-22,110.5265
2006-03-01,110.1642
2006-03-08,110.2849
2006-03-15,110.7561
2006-03-22,110.2364
2006-03-29,110.941
2006-04-05,110.439
2006-04-12,110.3552
2006-04-19,110.0069
2006-04-26,109.1831
2006-05-03,107.9528
2006-05-10,107.0859
2006-05-17,107.0929
2006-05-24,108.0031
2006-05-31,107.8972
2006-06-07,107.8851
2006-06-14,108.8848
2006-06-21,109.0078
2006-06-28,109.3995
2006-07-05,108.4329
2006-07-12,108.1611
2006-07-19,108.9679
2006-07-26,108.7951
2006-08-02,108.1373
2006-08-09,107.7465
2006-08-16,107.8678
2006-08-23,107.6147
2006-08-30,107.8884
2006-09-06,107.637
2006-09-13,108.2448
2006-09-20,108.2092
2006-09-27,108.0358
2006-10-04,108.1663
2006-10-11,108.701
2006-10-18,108.742
