mjd,flux,flux err
54471.1349537,0.2081607,0.0282750
54474.1265972,0.1742692,0.0418819
54476.1211921,0.2095480,0.0097307
54478.1156713,0.1843094,0.0156497
54480.1103819,0.2038836,0.0160921
54496.0669329,0.1858150,0.0119181
54497.0641319,0.2067188,0.0178192
54498.0610880,0.2066805,0.0297559
54502.0521644,0.2073880,0.0057619
54506.0407523,0.2024981,0.0188322
54547.9252662,0.1956299,0.0211047
54549.9192130,0.1929505,0.0171576
54553.9087037,0.1690058,0.0147502
54557.8974074,0.2148259,0.0289307
54559.8917940,0.1716482,0.0153862
54583.8273148,0.1966910,0.0145036
54599.7862269,0.1894769,0.0287479
54603.7749884,0.1763078,0.0255399
54605.7692940,0.1907064,0.0262381
54609.7588542,0.2068478,0.0552236
54615.7423380,0.1853612,0.0116010
54618.7341667,0.1810981,0.0095703
54620.7282870,0.1907505,0.0178286
54625.7119560,0.1652387,0.0163727
54627.7065278,0.2307452,0.0306228
54631.6957755,0.1887145,0.0055327
54633.6898380,0.1885015,0.0363524
54634.6873032,0.1775313,0.0107814
54637.6796644,0.1762172,0.0230886
54655.6306134,0.1827227,0.0290470
54660.6174537,0.1908849,0.0058189
54662.6112500,0.1898187,0.0409071
54666.6001273,0.1803816,0.0273594
54673.5809954,0.1936361,0.0129755
54675.5752083,0.1907630,0.0057872
54677.5695023,0.1866558,0.0263694
54679.5643056,0.1893001,0.0384076
54681.5590972,0.1893276,0.0065392
54683.5528819,0.1649429,0.0319171
54685.5473380,0.1840004,0.0161435
54687.5424537,0.1940015,0.0072061
54691.5312037,0.1911854,0.0072227
54693.5350926,0.1936692,0.0067888
54695.5302083,0.1855266,0.0140972
54697.5248495,0.1999218,0.0067299
54701.5133565,0.2047839,0.0054789
54705.5020255,0.2034687,0.0142980
54762.3604282,0.2004085,0.0125264
54768.3443287,0.1905727,0.0125141
54774.3338657,0.2073886,0.0240110
54781.3085185,0.1959687,0.0073501
54783.3062384,0.1975828,0.0080556
54785.3010648,0.1986706,0.0171622
54789.2896181,0.1927080,0.0069842
54791.2841551,0.1864321,0.0052161
54793.2791898,0.1949019,0.0046337
54795.2740856,0.1797928,0.0056184
54805.2459259,0.1920097,0.0052228
54807.2408796,0.1924729,0.0098727
54811.2301042,0.1957661,0.0070995
54823.1943866,0.1902965,0.0051697
54849.1231366,0.2034708,0.0073004
54853.1147338,0.2093849,0.0071956
54861.0951273,0.2060056,0.0189143
54863.0901620,0.2140695,0.0061991
54865.0840972,0.2156668,0.0078200
54871.0682755,0.2188454,0.0058655
54875.0574884,0.2201950,0.0181631
54881.0426389,0.2186452,0.0117347
54883.0367130,0.2229263,0.0058176
54885.0314120,0.2152063,0.0133616
54887.0260069,0.2181430,0.0152119
54889.0200579,0.2125562,0.0052080
54895.0041782,0.2103218,0.0293853
54896.9984144,0.2220198,0.0269424
54900.9879745,0.2188371,0.0059712
54902.9839931,0.2125429,0.0201047
54906.9198727,0.2196072,0.0204386
54909.9237963,0.2337969,0.0217472
54915.8975347,0.2488852,0.0508790
54918.8839583,0.2484133,0.0135972
54925.8824190,0.2042000,0.0195016
54934.8149537,0.2242575,0.0111367
54940.8203241,0.2277455,0.0351425
54949.7941204,0.2368998,0.0064367
54952.7783218,0.2265432,0.0406642
54955.7679051,0.2395762,0.0103485
54962.7588310,0.2481251,0.0220403
54965.7340625,0.2279012,0.0122104
54968.7249537,0.2330003,0.0180699
54971.7231713,0.2356035,0.0193403
54974.7100926,0.2334355,0.0087104
54977.7122106,0.2230960,0.0106416
54996.6483218,0.2270926,0.0091989
55008.6164583,0.2393541,0.0058780
55018.5884259,0.2304788,0.0248452
55024.5756829,0.2352773,0.0216036
55027.5635301,0.2335484,0.0056349
55033.5589931,0.2261792,0.0399854
55036.5510185,0.2298700,0.0116498
55039.5177315,0.2391305,0.0086008
55045.5252546,0.2230289,0.0152279
55051.4997106,0.2423543,0.0070016
55054.5027778,0.2455508,0.0305679
55057.4843750,0.2344446,0.0053891
55060.4741204,0.2367128,0.0057668
55063.4665509,0.2325963,0.0193712
55069.4462384,0.2366233,0.0056633
55072.4383681,0.2406136,0.0149043
55075.4301389,0.2316740,0.0185380
55078.4221296,0.2298704,0.0189261
55081.4136227,0.2474609,0.0062314
55084.4056944,0.2367110,0.0130255
55087.3939468,0.2485994,0.0166926
55090.3890394,0.2388912,0.0242464
55093.3808102,0.2268737,0.0075618
55096.3735301,0.2449035,0.0362655
55099.3645949,0.2373501,0.0407975
55102.3567361,0.2334072,0.0058333
55105.3447569,0.2338263,0.0178126
55112.3293519,0.2336656,0.0053961
55115.3277546,0.2475563,0.0050288
55121.3208218,0.2399955,0.0072750
55137.2767824,0.2389463,0.0134970
55140.2685995,0.2468563,0.0098547
55147.2360532,0.2343788,0.0118900
55150.2656134,0.2326593,0.0205935
55153.2450579,0.2279263,0.0308114
55159.2327778,0.2270241,0.0275269
55166.2097338,0.2163119,0.0610703
55185.1705556,0.2168616,0.0194572
55189.1551968,0.2091057,0.0214072
55192.1316551,0.2203243,0.0220460
55199.1194792,0.2094029,0.0112817
55208.0734606,0.2175829,0.0099948
55211.0666667,0.2346346,0.0383904
55227.0147917,0.2225559,0.0107865
55239.9868403,0.2197054,0.0063773
55242.9779745,0.2241639,0.0213620
55245.9705208,0.2212634,0.0050884
55310.8602662,0.2414383,0.0365375
55320.8445139,0.2211785,0.0497484
55324.8331366,0.2202679,0.0082168
55331.8132407,0.2382814,0.0069693
55334.8055903,0.2345189,0.0208136
55340.7796528,0.2284811,0.0632088
55349.6933912,0.2138204,0.0099992
55352.6783565,0.2214926,0.0206700
55361.6513773,0.2466153,0.0130677
55364.6586343,0.2341314,0.0237621
55372.6329282,0.2543337,0.0175685
55375.6132870,0.2169294,0.0072017
55379.6018981,0.2267262,0.0236128
55382.5937616,0.2436367,0.0230092
55385.5857870,0.2366074,0.0320219
55388.5856019,0.2209767,0.0055969
55408.5272801,0.2372805,0.0427345
55411.5317361,0.2439289,0.0354332
55414.5799074,0.2151383,0.0073145
55488.4566088,0.2680766,0.0103546
55492.4264236,0.2730481,0.0063688
55497.4229051,0.2959655,0.0104498
55501.4194676,0.2607340,0.0162998
55505.3507870,0.2874481,0.0202262
55517.3174537,0.2856647,0.0157470
55526.2898495,0.2946607,0.0135548
55532.2767130,0.2917273,0.0070669
55585.0540278,0.2959669,0.0062523
55615.9728819,0.2854721,0.0199120
55619.9768056,0.2654570,0.0279796
55622.9485648,0.2943285,0.0116899
55628.9451157,0.2802823,0.0250473
55657.9057407,0.2694808,0.0060746
55663.8917014,0.2671560,0.0126008
55666.8845602,0.2538953,0.0161517
55670.8712037,0.2430918,0.0101631
55684.8338079,0.2568699,0.0154897
55687.8347106,0.2502117,0.0133787
55697.7732292,0.2487547,0.0069638
55701.7528819,0.2374377,0.0098899
55704.7558449,0.2788009,0.0376587
55707.7654282,0.2516282,0.0072962
55711.7359606,0.2552508,0.0191599
55722.7292824,0.2686090,0.0365509
55725.7145139,0.2566784,0.0053203
55733.6982639,0.2601493,0.0179478
55736.6906366,0.2588619,0.0059956
55742.6743519,0.2462495,0.0051858
55745.6524421,0.2391562,0.0160201
55752.6321991,0.2305791,0.0339494
55756.6439931,0.2432125,0.0212514
55759.6400231,0.2480650,0.0205367
55762.6174769,0.2433628,0.0057973
55765.6273495,0.2386905,0.0070171
55768.6129051,0.2397393,0.0208077
55771.6092130,0.2523719,0.0057363
55778.5886806,0.2505107,0.0089641
55784.5736921,0.2459576,0.0202441
55787.5661111,0.2500374,0.0082417
55791.5582292,0.2442860,0.0165787
55794.5410995,0.2616194,0.0128405
55798.5076968,0.2534443,0.0166840
55801.4972917,0.2491616,0.0146558
55805.4878356,0.2512549,0.0141964
55808.4784491,0.2464906,0.0083967
55812.4671412,0.2397630,0.0211983
55819.4145255,0.2483808,0.0045762
55822.4356713,0.2454957,0.0182570
55826.4299306,0.2496699,0.0125768
55829.4260301,0.2401744,0.0145153
55833.4112847,0.2418678,0.0045859
55836.3979977,0.2257515,0.0046632
55847.4559722,0.2343146,0.0120218
55850.4616898,0.2351000,0.0060897
55854.3533912,0.2418607,0.0076434
55861.3237037,0.2421082,0.0096173
55871.3081944,0.2379395,0.0173448
55875.2928241,0.2417002,0.0249164
55878.2731713,0.2347854,0.0369444
55885.2667940,0.2489442,0.0066112
55892.2492014,0.2478840,0.0094942
55903.2780324,0.2371987,0.0059898
55906.2761806,0.2425945,0.0093628
55910.2638542,0.2211896,0.0061813
55920.2055324,0.2458410,0.0144353
55927.2181250,0.2424313,0.0087087
55930.1968634,0.2473800,0.0132263
55931.1856366,0.2486197,0.0198271
55938.1128241,0.2423062,0.0142417
55941.1115394,0.2419835,0.0084444
55945.1111227,0.2437111,0.0085073
55952.0866667,0.2518385,0.0215763
55955.0732292,0.2514387,0.0104173
55962.0541204,0.2477543,0.0073663
55972.0369676,0.2388867,0.0077902
55974.0337153,0.2297746,0.0073266
55977.0260301,0.2471078,0.0098705
55990.9879861,0.2267782,0.0238754
55995.0169213,0.2355848,0.0112732
55997.9689699,0.2081725,0.0196090
56001.9879051,0.2340022,0.0104878
56015.9615741,0.2321255,0.0245928
56032.8845949,0.2133530,0.0082275
56036.8960532,0.1992854,0.0230622
56046.8267940,0.2118689,0.0071575
56052.8806713,0.2042269,0.0112148
56055.8251157,0.2133431,0.0269757
56060.7791898,0.1987326,0.0098053
56104.6930787,0.2111265,0.0258735
56108.6818519,0.1932175,0.0087101
56109.6687847,0.2029990,0.0065600
56112.6341898,0.2019447,0.0062463
56115.7069907,0.1991956,0.0248769
56116.6051273,0.2138974,0.0196494
56120.6068056,0.2097619,0.0144083
56125.6431481,0.2046570,0.0153008
56133.5545255,0.2117810,0.0057348
56134.5940394,0.2053268,0.0064139
56138.6566435,0.2098162,0.0050752
56143.5749190,0.1990518,0.0157013
56145.6451736,0.2016830,0.0091696
56149.5625694,0.2071503,0.0063714
56160.5545486,0.2048645,0.0095302
56164.5494792,0.1969626,0.0279390
56167.4751736,0.2220880,0.0049239
56171.4618403,0.2060083,0.0194609
56174.5621875,0.1883151,0.0209318
56175.5231019,0.2149961,0.0388100
56178.4741898,0.1831960,0.0055635
56180.4914815,0.2086178,0.0242632
56188.4086574,0.2202680,0.0048317
56191.5167014,0.2198555,0.0055524
56196.4223032,0.2240112,0.0116908
56199.4585764,0.2180379,0.0073987
56202.4470023,0.2161887,0.0140282
56206.4104514,0.2106077,0.0658009
56210.4272222,0.2181002,0.0046430
56213.3721991,0.2148858,0.0100656
56227.3305093,0.2159539,0.0104269
56234.3429977,0.2227136,0.0057245
56237.3181597,0.2245168,0.0052836
56243.3257523,0.2247591,0.0226455
56245.2853819,0.2197004,0.0057960
56251.2716667,0.2299183,0.0100409
56252.2554745,0.2209329,0.0075836
56255.2611111,0.2279046,0.0049276
56256.2210648,0.2305631,0.0066499
56260.2499884,0.2311644,0.0064494
56269.2227894,0.2112490,0.0061193
56272.2107523,0.2299388,0.0039627
56279.2071296,0.2419187,0.0051676
56281.2442940,0.2242483,0.0098586
56305.1142824,0.2261501,0.0140760
56313.1596412,0.2257147,0.0084530
56318.0688773,0.2409825,0.0075620
56325.0719560,0.2416626,0.0204586
56328.1049190,0.2214629,0.0195165
56329.0412500,0.2418714,0.0212935
56330.0709722,0.2452225,0.0072548
56346.0848264,0.2302636,0.0491013
56352.9612269,0.2485152,0.0527507
56355.9426736,0.2278481,0.0107000
56383.9766667,0.2195908,0.0106109
56394.9635995,0.1963573,0.0245956
56396.8358218,0.2159619,0.0196778
56402.8768750,0.2244589,0.0260881
56405.8718403,0.2144995,0.0105093
56412.8919213,0.2097795,0.0096422
56416.8092477,0.2167251,0.0091408
56423.8522106,0.2241456,0.0147646
