mjd,flux,flux err
54473.4942824,0.3205003,0.0159087
54477.4827894,0.2997092,0.0103828
54479.4776273,0.2892484,0.0333724
54485.4612616,0.2990739,0.0126477
54487.4558796,0.2973244,0.0300456
54495.4339815,0.2817440,0.0272069
54497.4282986,0.2795658,0.0086608
54503.4122569,0.2954814,0.0278500
54505.4061806,0.2841068,0.0072351
54507.4006481,0.3016071,0.0245440
54508.3724306,0.2943838,0.0107151
54545.2972106,0.2722076,0.0131523
54549.2866435,0.2839902,0.0101891
54550.2570370,0.2726142,0.0099344
54551.2812269,0.2749002,0.0103585
54553.2757755,0.2578520,0.0219330
54555.2704514,0.2585412,0.0329339
54557.2646644,0.2701939,0.0075295
54559.2590741,0.2737977,0.0218988
54584.1652894,0.2555070,0.0103273
54600.1237616,0.2429764,0.0174139
54602.1186111,0.2510158,0.0155208
54603.1403704,0.2535369,0.0210200
54607.1290394,0.2422367,0.0072587
54615.1069329,0.2499984,0.0114592
54618.0992593,0.2321527,0.0088867
54619.0720370,0.2492193,0.0410279
54627.0739583,0.2204559,0.0219823
54631.0629051,0.2117653,0.0254832
54633.0579630,0.2250105,0.0295849
54654.9972569,0.2143847,0.0294828
54663.9733565,0.2380560,0.0121877
54665.9671991,0.2169725,0.0462851
54672.9472801,0.2164844,0.0370415
54676.9371412,0.2071002,0.0115821
54678.9316319,0.2311024,0.0544202
54680.9264352,0.2499250,0.0649089
54685.8877083,0.2459808,0.0113706
54688.9036227,0.2281868,0.0306454
54690.8981019,0.2377041,0.0098935
54691.8714005,0.1865491,0.0083993
54697.8692708,0.2378032,0.0327830
54762.7013310,0.2012331,0.0137442
54768.6855556,0.2069296,0.0244251
54774.6784144,0.2136851,0.0086351
54908.3375694,0.2416505,0.0211491
54911.3319444,0.2388474,0.0357790
54914.2985995,0.2385125,0.0061296
54921.2885880,0.2388840,0.0211143
54923.5472569,0.2497716,0.0284912
54926.5350694,0.2365979,0.0119543
54934.2432523,0.2468633,0.0254593
54942.2291782,0.2491969,0.0079793
54948.2313426,0.2411419,0.0121788
54951.2044213,0.2398766,0.0097028
54954.1961806,0.2128830,0.0188358
54957.1791898,0.2335933,0.0049885
54973.1233449,0.2449374,0.0142814
54979.1206713,0.2563534,0.0058625
55002.0522685,0.2360121,0.0418978
55010.0332407,0.2600227,0.0283771
55017.0074306,0.2638899,0.0045186
55028.9790278,0.2631855,0.0285324
55037.9680903,0.2556612,0.0308227
55052.8989815,0.2909515,0.0058170
55055.8914931,0.2835246,0.0079935
55058.9032755,0.2815034,0.0063995
55061.8907292,0.2983179,0.0224185
55067.9014120,0.2757798,0.0114154
55070.8993519,0.3011988,0.0254642
55073.8844792,0.2928783,0.0369222
55076.8694097,0.2988803,0.0210164
55079.8592014,0.2947524,0.0105961
55082.8541319,0.2946902,0.0194839
55085.8453588,0.2943267,0.0168351
55088.8352662,0.3008183,0.0177994
55091.8272222,0.3088964,0.0130149
55094.8197569,0.2783022,0.0079480
55097.8100347,0.3061805,0.0177349
55100.8022222,0.2950097,0.0340468
55106.7853125,0.3378474,0.0100270
55110.7747106,0.3250527,0.0215992
55113.7691551,0.3325799,0.0228049
55135.7130324,0.3251076,0.0159664
55138.6970486,0.3219708,0.0068833
55141.6936574,0.3319699,0.0125941
55144.6862963,0.3240732,0.0056722
55154.6453125,0.3439215,0.0144376
55157.6353241,0.3381315,0.0664000
55161.6107986,0.3264302,0.0136604
55167.5907292,0.3269934,0.0193002
55176.5727662,0.3257764,0.0073235
55183.5569444,0.3184192,0.0316761
55186.5498380,0.3232433,0.0327317
55190.5305440,0.3252245,0.0196082
55193.5245255,0.3047499,0.0059530
55197.5089931,0.2990367,0.0091567
55200.5180093,0.3161163,0.0065106
55206.4881250,0.3167507,0.0110816
55212.4772801,0.3223371,0.0181587
55215.4676042,0.3155530,0.0100263
55222.4581250,0.3128232,0.0218832
55225.4334259,0.3139101,0.0243426
55228.4302431,0.3160051,0.0079790
55231.4286690,0.3291664,0.0302443
55235.4198032,0.3097208,0.0110937
55238.4143634,0.3103717,0.0394365
55241.4040162,0.3253018,0.0296910
55244.3959722,0.3366957,0.0079905
55250.3616667,0.3390155,0.0059205
55253.3561574,0.3461309,0.0156286
55257.3522222,0.3199726,0.0299162
55263.3319213,0.3472609,0.0191505
55267.3371875,0.3589089,0.0070578
55272.2989699,0.3591015,0.0140344
55276.2855440,0.3727009,0.0079609
55290.2910301,0.3655799,0.0066336
55312.2240625,0.3444874,0.0081240
55355.0680208,0.3646779,0.0078751
55361.0504745,0.3559891,0.0279461
55375.0118866,0.3899542,0.0239129
55381.9941204,0.3680281,0.0072085
55427.8725926,0.3666432,0.0201928
55488.7171875,0.4141857,0.0212334
55497.6991898,0.4476152,0.0150935
55506.7433796,0.4465129,0.0197355
55518.7097685,0.4263354,0.0542242
55525.6603472,0.4117739,0.0339359
55527.6926157,0.4301188,0.0170866
55531.6618171,0.4242898,0.0075795
55533.6638426,0.4181555,0.0364322
55535.6505787,0.4151526,0.0105164
55537.6396065,0.4203630,0.0090960
55579.4919444,0.4213951,0.0087826
55583.4862847,0.4112327,0.0240294
55586.4767477,0.4070452,0.0069838
55590.4620602,0.4088277,0.0154856
55599.4227431,0.4186122,0.0101213
55609.4138889,0.4106164,0.0065849
55621.3882523,0.4078345,0.0291376
55626.3529745,0.4125931,0.0183189
55630.3448727,0.4181431,0.0144773
55637.3232639,0.4113261,0.0142847
55643.3229051,0.4134896,0.0230805
55652.2990509,0.4026970,0.0722371
55656.2854398,0.4290090,0.0100096
55659.2660417,0.4137589,0.0208837
55664.2407870,0.4248091,0.0171751
55668.2360185,0.4001219,0.0191534
55686.1812153,0.3921163,0.0185177
55689.1732060,0.4269143,0.0204744
55697.4245949,0.4272388,0.0279117
55699.4130556,0.4399446,0.0113712
55703.4203009,0.4246100,0.0069505
55704.4059259,0.4397155,0.0391846
55706.1442940,0.4298349,0.0078053
55721.0885764,0.4484291,0.0094778
55727.0790278,0.4342164,0.0253858
55731.0681366,0.4254221,0.0201174
55738.0452778,0.4523679,0.0254399
55767.2368403,0.4458642,0.0240173
55778.2149306,0.4700474,0.0142965
55782.1995949,0.4815406,0.0102790
55807.0963773,0.4603340,0.0131975
55821.0694907,0.4430921,0.0123146
55828.0475231,0.4440906,0.0143287
55831.0315509,0.4109833,0.0303729
55845.0006134,0.4000524,0.0222561
55849.0126157,0.3830186,0.0159672
55852.0059606,0.3869445,0.0220531
55855.9826157,0.3845799,0.0295645
55862.9573032,0.3779340,0.0166769
55865.9473032,0.3689871,0.0246156
55879.8946296,0.3775750,0.0244113
55893.8700347,0.3756973,0.0151676
55903.5781019,0.3729208,0.0103576
55906.5639120,0.3896098,0.0078095
55910.5392940,0.3923133,0.0118522
55913.5397338,0.3917439,0.0098807
55920.5297685,0.4050445,0.0187296
55923.5300231,0.4018388,0.0339145
55927.5011227,0.4116720,0.0143527
55931.5127199,0.3953154,0.0070313
55936.5131366,0.3987714,0.0075709
55938.4931019,0.4014921,0.0068511
55943.4900579,0.3886404,0.0129285
55945.4766898,0.4059668,0.0229345
55952.4627894,0.4201663,0.0067719
55965.4138657,0.4059401,0.0144543
55970.4084722,0.4008470,0.0179400
55980.3749537,0.4023957,0.0118359
55990.4074884,0.4253833,0.0112410
55991.3538426,0.4199891,0.0076250
55997.3782639,0.4282328,0.0168332
55998.3301157,0.4388576,0.0177716
56004.3613079,0.4289890,0.0068597
56005.3095255,0.4340234,0.0067582
56022.3148727,0.4043338,0.0079951
56025.3127083,0.4063191,0.0115345
56026.2515046,0.4009451,0.0108655
56039.2758333,0.3893890,0.0081994
56040.2210417,0.3849009,0.0142810
56046.4318056,0.3850437,0.0092347
56047.1847801,0.3862504,0.0090069
56061.2004282,0.3772282,0.0145284
56116.2394560,0.3724679,0.0360772
56118.2757292,0.3617212,0.0273886
56132.9679051,0.3684969,0.0403228
56163.0966319,0.3923596,0.0356786
56172.0777662,0.3841197,0.0061156
56173.0759954,0.3879720,0.0244664
56189.0237616,0.3776834,0.0070293
56191.8138889,0.3637651,0.0140077
56197.0529861,0.3731183,0.0095315
56200.0157639,0.3753514,0.0235670
56202.7648958,0.3639385,0.0215877
56204.7470486,0.3541047,0.0105630
56208.8064352,0.3676580,0.0070077
56214.9932639,0.3697763,0.0074963
56223.7597454,0.3492818,0.0090367
56225.9703588,0.3600029,0.0245696
56228.9450231,0.3509048,0.0089423
56231.9552894,0.3701219,0.0131043
56233.6932755,0.3406919,0.0111457
56236.6819792,0.3520446,0.0197128
56238.6597917,0.3436258,0.0275041
56243.8822685,0.3506159,0.0087856
56253.9137963,0.3441449,0.0054947
56256.6286921,0.3587709,0.0160171
56259.6178472,0.3570717,0.0069219
56260.6572569,0.3604627,0.0063271
56267.8251505,0.3291828,0.0211642
56275.6114236,0.3581128,0.0124133
56277.8120602,0.3464353,0.0088584
56281.5456481,0.3490299,0.0301917
56296.5277662,0.3434812,0.0058105
56313.4787153,0.3774531,0.0728449
56319.6851736,0.3763737,0.0076250
56324.4449074,0.3489357,0.0133388
56335.6476042,0.3879509,0.0105416
56339.3928588,0.4012165,0.0142806
56342.6303241,0.3945479,0.0058292
56344.4302662,0.4117099,0.0274749
56347.4064583,0.4075073,0.0199272
56372.5277894,0.3997757,0.0552271
56377.3377778,0.4149461,0.0281415
56380.5040278,0.3911806,0.0085137
56385.5434491,0.3802270,0.0233287
56388.2952083,0.3636483,0.0356963
56401.2573843,0.3538522,0.0096409
56404.4780903,0.3895268,0.0102331
56409.2236343,0.3878204,0.0397525
56416.2381829,0.4051577,0.0098898
56423.4033565,0.3846045,0.0146665
56466.0588889,0.4007980,0.0071300
56472.0401852,0.3923742,0.0441113
56483.2468981,0.3754240,0.0068536
56510.1729977,0.3708105,0.0064147
56534.8767824,0.3629544,0.0220270
56550.0252778,0.3255056,0.0061184
56557.9952199,0.3323740,0.0156755
56566.8179282,0.3262340,0.0069981
56572.7554630,0.3132264,0.0053868
56582.9509838,0.3193640,0.0057786
56586.7161690,0.2976947,0.0053168
56592.7368634,0.2964001,0.0107957
56595.7360185,0.3092111,0.0158151
56596.6939352,0.2982606,0.0176963
56599.6712153,0.2985939,0.0130570
56603.8762269,0.2993445,0.0232302
56606.6488079,0.3003584,0.0113841
56609.6531134,0.2981895,0.0086913
56611.6684028,0.2979542,0.0107320
56613.8823727,0.2970223,0.0061530
56616.6342014,0.2947240,0.0059253
56624.6294907,0.2894417,0.0266161
56627.8868634,0.2931092,0.0059260
56628.6447685,0.2932677,0.0423428
56642.6181134,0.2926479,0.0058121
56650.7514236,0.2734138,0.0331024
56653.5675810,0.2940691,0.0093023
56668.5368519,0.2888022,0.0099791
56672.5102199,0.2886425,0.0091109
56676.5136921,0.2838843,0.0076403
56680.4935417,0.2918175,0.0062691
